id,name,host_id,host_name,host_since,room_type,price,neighbourhood,bedrooms,number_of_reviews,first_review,last_review,host_is_superhost,minimum_nights,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_identity_verified,accommodates,beds,airbnb_age
859808691065719156,Envi Suite 02,506646022,Myrtle,2023-03-22,Entire home/apt,150,North Sydney,0.0,26,2023-06-23,2024-03-06,t,2,2.89,4.92,5.0,5.0,4.92,4.92,4.84,4.92,t,2,1.0,257
611718682364704571,Two room garden suit near Sydney airport,306700375,Zheng,2019-11-04,Private room,124,Botany Bay,2.0,23,2022-05-02,2024-03-16,f,3,1.0,4.52,4.82,4.32,4.95,4.95,4.86,4.59,t,4,1.0,684
1097490763908451231,KozyGuru | Allawah | 2 Bed Kozy Apartment,178352513,Megan,2018-03-14,Entire home/apt,191,City Of Kogarah,2.0,1,2024-03-12,2024-03-12,f,2,1.0,4.0,4.0,2.0,5.0,5.0,5.0,3.0,t,4,2.0,0
756897003167369403,Bilgola Home - close to the beach,19007217,Natasha,2014-07-27,Entire home/apt,1071,Pittwater,3.0,1,2022-12-30,2022-12-30,f,90,0.07,5.0,5.0,5.0,5.0,5.0,5.0,4.0,t,5,4.0,0
1668941,Cosy room in comfortable home,8210210,Diana & Steve,2013-08-17,Private room,98,Mosman,1.0,12,2013-12-04,2017-03-18,f,90,0.1,5.0,4.92,4.92,4.92,5.0,4.83,4.92,t,1,1.0,1200
1016261148984623965,*Crows Nest Gem* | Secure Parking,544464502,My Perfect Host,2023-11-01,Entire home/apt,228,North Sydney,1.0,8,2023-11-25,2024-03-06,f,1,2.09,5.0,4.88,5.0,4.88,5.0,4.88,4.75,t,3,1.0,102
28079568,Mosman private room,70052304,Dianne,2016-05-02,Private room,150,Mosman,2.0,2,2023-02-24,2023-12-02,t,2,0.15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,2.0,281
15219798,Second large & cozy bedroom,87630262,Lia,2016-08-03,Private room,60,Canada Bay,1.0,3,2016-11-03,2017-07-14,f,90,0.03,5.0,5.0,5.0,4.67,5.0,5.0,5.0,f,1,1.0,253
1069937632789339248,Room 203 in Carmen’s House,154087768,Carmen,2017-10-10,Private room,92,Hurstville,1.0,3,2024-02-06,2024-02-26,f,1,2.14,4.67,5.0,4.67,4.67,5.0,5.0,5.0,f,3,2.0,20
53505620,Functional family house,373987553,Justine,2020-10-31,Entire home/apt,200,Randwick,2.0,2,2021-12-26,2022-01-03,f,90,0.07,5.0,5.0,4.0,5.0,5.0,5.0,4.5,t,4,2.0,8
21987522,Sydney Beach Getaway near Airport,160549030,Sydney,2017-11-29,Entire home/apt,200,Rockdale,2.0,87,2018-02-18,2024-02-26,t,5,1.18,4.92,4.9,4.8,4.93,4.95,4.86,4.79,t,6,3.0,2199
998736417954350754,North facing home with park view,514477314,Whites Paddington,2023-05-12,Entire home/apt,111,Hurstville,2.0,9,2023-12-05,2024-03-09,f,1,2.57,4.67,4.78,4.67,4.89,4.89,4.78,4.78,t,4,2.0,95
32820418,Welcome to one of Sydney's most luxurious stays,246906638,Sri,2019-03-04,Entire home/apt,156,Willoughby,2.0,125,2019-03-05,2024-01-21,f,90,2.04,4.66,4.74,4.69,4.78,4.84,4.92,4.72,t,5,3.0,1783
3251403,Modern apartment near train station,4358703,Galina,2012-12-08,Entire home/apt,136,Marrickville,2.0,54,2019-07-28,2024-03-06,f,3,0.96,4.44,4.65,4.46,4.8,4.69,4.61,4.57,t,6,4.0,1683
843576420724430822,Luxurious Hamptons Beach House,46987590,Melissa,2015-10-20,Entire home/apt,850,Sutherland Shire,3.0,2,2023-12-28,2024-01-03,f,4,0.73,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,6,4.0,6
1042902953842408418,Sunny harbourside pad with views,6884968,Samar,2013-06-12,Entire home/apt,260,Woollahra,1.0,2,2024-02-17,2024-02-25,f,1,2.0,4.5,5.0,4.5,5.0,5.0,4.5,4.5,t,2,1.0,8
17578428,Private Inner Sydney One Bedroom Garden Apartment,72070105,David,2016-05-15,Entire home/apt,151,Marrickville,1.0,132,2017-03-12,2024-02-27,t,5,1.54,4.97,4.98,4.98,4.99,4.98,4.9,4.87,t,2,2.0,2543
26901938,"Stylish, close to Airport and St George Hospital",171891966,Helen,2018-02-05,Entire home/apt,145,Rockdale,1.0,163,2018-07-29,2024-03-17,t,1,2.37,4.95,4.93,4.94,4.98,4.98,4.87,4.92,t,2,1.0,2058
33947100,Sunny Courtyard Escape in Sydney's Little Italy,283498077,Dom,2019-08-06,Entire home/apt,184,Leichhardt,2.0,126,2019-05-18,2024-03-06,f,2,2.14,4.78,4.89,4.74,4.89,4.87,4.87,4.71,t,4,2.0,1754
52942370,Studio Apartment in Marrickville - Great Location,106182968,Sarah,2016-12-04,Entire home/apt,160,Marrickville,1.0,17,2021-12-16,2024-03-09,f,28,0.62,4.41,4.53,3.71,4.71,4.94,4.82,4.12,t,2,1.0,814
726193277482106620,The Nook,80589705,Leah,2016-06-28,Entire home/apt,189,Pittwater,1.0,41,2023-01-21,2024-03-02,t,2,2.91,4.93,4.93,4.95,4.98,4.95,4.98,4.61,t,2,1.0,406
21698776,Completely Private and Independent Studio,157964430,Allan & Paola,2017-11-08,Entire home/apt,112,Hornsby,0.0,128,2017-12-29,2024-03-08,t,2,1.69,4.75,4.81,4.68,4.9,4.94,4.7,4.72,t,4,2.0,2261
1001927877030401096,Modern 2 bedroom apartment close to all amenities!,455120249,Nicole,2022-04-20,Entire home/apt,231,Rockdale,2.0,10,2023-12-16,2024-03-01,f,2,3.19,4.9,4.9,4.8,4.9,4.9,4.9,4.9,t,7,4.0,76
23687023,Private Access Tranquil Garden Guesthouse,105418353,Felicity & Phil,2016-11-28,Entire home/apt,150,Willoughby,0.0,58,2018-04-13,2024-03-09,f,3,0.8,4.84,4.97,4.9,5.0,5.0,4.88,4.76,t,2,1.0,2157
42669209,Spacious Private Room in Kingsford near UNSW,49055642,Chris,2015-11-15,Private room,73,Randwick,1.0,37,2020-11-28,2024-02-10,f,2,0.92,4.84,4.84,4.59,4.86,4.89,4.86,4.81,t,1,1.0,1169
18416869,New Modern Clean House - Long Term Stays Welcome,127468532,Julie,2017-04-25,Entire home/apt,141,Fairfield,2.0,251,2017-05-08,2024-03-04,t,30,3.0,4.81,4.89,4.88,4.94,4.95,4.84,4.78,t,6,5.0,2492
883514889992365825,"Comfortable, clean closed to CBD",13110349,Agnes,2014-03-13,Entire home/apt,280,Canada Bay,2.0,6,2023-07-28,2024-02-24,f,3,0.77,4.5,4.67,4.5,4.83,5.0,4.67,4.17,t,3,2.0,211
976386680097717456,Homebush modern 2B2B Penthouse,169795871,Charlotte,2018-01-24,Entire home/apt,250,Strathfield,2.0,6,2023-09-21,2024-02-12,f,5,1.0,4.83,4.83,5.0,4.5,4.83,4.83,4.67,t,4,2.0,144
50137244,Quiet secure oasis in Gymea,111859963,Syd,2017-01-17,Entire home/apt,150,Sutherland Shire,2.0,13,2021-09-30,2024-02-11,t,7,0.43,4.92,4.92,4.69,4.92,4.77,4.92,4.92,t,3,2.0,864
53054848,The Beach Front House @Curl Curl,153334162,Nerida,2017-10-05,Entire home/apt,1521,Warringah,5.0,7,2023-01-01,2024-01-09,f,4,0.47,5.0,4.86,5.0,5.0,5.0,5.0,4.71,t,11,7.0,373
24679534,Large elevated apartment St Leonards,148607219,Wyndel Apartments,2017-08-31,Entire home/apt,400,Willoughby,3.0,7,2019-07-15,2022-07-13,f,28,0.12,4.14,4.0,4.57,4.86,4.71,5.0,4.14,t,5,4.0,1094
